,power,current,time
0,0.17,32.5,5
1,0.17,32.5,11
2,0.17,32.5,16
3,0.17,32.5,20
4,0.17,32.5,25
5,0.17,32.5,30
6,0.17,32.5,35
7,0.17,32.5,40
8,0.17,32.5,45
9,0.17,32.5,50
10,0.17,32.5,55
11,0.17,32.5,60
12,0.17,32.5,65
13,0.272,51.9,70
14,0.272,51.9,75
15,0.272,51.9,80
16,0.272,51.9,84
17,0.272,51.9,89
18,0.272,51.9,95
19,0.272,51.9,100
20,0.272,51.9,105
21,0.272,51.9,110
22,0.272,51.9,115
23,0.272,51.9,120
24,0.272,51.9,124
25,0.272,51.9,129
26,0.256,48.7,134
27,0.256,48.7,140
28,0.256,48.7,145
29,0.256,48.7,150
30,0.256,48.7,155
31,0.256,48.7,160
32,0.256,48.7,165
33,0.256,48.7,170
34,0.256,48.7,174
35,0.256,48.7,180
36,0.256,48.7,185
37,0.256,48.7,190
38,0.256,48.7,195
39,0.256,47.79999,200
40,0.25,47.79999,205
41,0.25,47.79999,210
42,0.25,47.79999,215
43,0.25,47.79999,221
44,0.25,47.79999,225
45,0.25,47.79999,230
46,0.25,47.79999,235
47,0.25,47.79999,240
48,0.25,47.79999,245
49,0.25,47.79999,250
50,0.25,47.79999,255
51,0.25,47.79999,260
52,0.25,53.6,266
53,0.278,53.6,271
54,0.278,53.6,276
55,0.278,53.6,280
56,0.278,53.6,285
57,0.278,53.6,290
58,0.278,53.6,295
59,0.278,53.6,300
60,0.278,53.6,306
61,0.278,53.6,311
62,0.278,53.6,316
63,0.278,53.6,321
64,0.278,53.6,326
65,0.278,70.7,330
66,0.368,70.7,335
67,0.368,70.7,340
68,0.368,70.7,345
69,0.368,70.7,351
70,0.368,70.7,356
71,0.368,70.7,361
72,0.368,70.7,366
73,0.368,70.7,371
74,0.368,70.7,375
75,0.368,70.7,380
76,0.368,70.7,385
77,0.368,70.7,390
78,0.368,75.7,396
79,0.394,75.7,401
80,0.394,75.7,406
81,0.394,75.7,411
82,0.394,75.7,416
83,0.394,75.7,420
84,0.394,75.7,425
85,0.394,75.7,430
86,0.394,75.7,436
87,0.394,75.7,441
88,0.394,75.7,446
89,0.394,75.7,451
90,0.394,75.7,456
91,0.394,75.7,461
92,0.394,76.5,466
93,0.394,76.5,470
94,0.394,76.5,475
95,0.394,76.5,481
96,0.394,76.5,486
97,0.394,76.5,491
98,0.394,76.5,496
99,0.394,76.5,501
100,0.394,76.5,506
101,0.394,76.5,511
102,0.394,76.5,515
103,0.394,76.5,521
104,0.394,76.5,526
105,0.394,76.6,531
106,0.394,76.6,536
107,0.394,76.6,541
108,0.394,76.6,546
109,0.394,76.6,551
110,0.394,76.6,556
111,0.394,76.6,562
112,0.394,76.6,566
113,0.394,76.6,571
114,0.394,76.6,576
115,0.394,76.6,581
116,0.394,76.6,586
117,0.394,76.6,591
118,0.394,76.20000999999999,596
119,0.39,76.20000999999999,601
120,0.39,76.20000999999999,607
121,0.39,76.20000999999999,612
122,0.39,76.20000999999999,616
123,0.39,76.20000999999999,621
124,0.39,76.20000999999999,626
125,0.39,76.20000999999999,631
126,0.39,76.20000999999999,636
127,0.39,76.20000999999999,641
128,0.39,76.20000999999999,646
129,0.39,76.20000999999999,652
130,0.39,76.20000999999999,657
131,0.39,76.8,661
132,0.394,76.8,666
133,0.394,76.8,671
134,0.394,76.8,676
135,0.394,76.8,681
136,0.394,76.8,686
137,0.394,76.8,692
138,0.394,76.8,697
139,0.394,76.8,702
140,0.394,76.8,707
141,0.394,76.8,711
142,0.394,76.8,716
143,0.394,76.8,721
144,0.394,85.9,726
145,0.44,85.9,731
146,0.44,85.9,737
147,0.44,85.9,742
148,0.44,85.9,747
149,0.44,85.9,751
150,0.44,85.9,756
151,0.44,85.9,761
152,0.44,85.9,766
153,0.44,85.9,771
154,0.44,85.9,777
155,0.44,85.9,782
156,0.44,85.9,787
157,0.44,85.9,792
158,0.426,83.1,796
159,0.426,83.1,801
160,0.426,83.1,806
161,0.426,83.1,811
162,0.426,83.1,816
163,0.426,83.1,822
164,0.426,83.1,827
165,0.426,83.1,832
166,0.426,83.1,837
167,0.426,83.1,842
168,0.426,83.1,846
169,0.426,83.1,851
170,0.426,83.1,856
171,0.404,78.2,862
172,0.404,78.2,867
173,0.404,78.2,872
174,0.404,78.2,877
175,0.404,78.2,882
176,0.404,78.2,887
177,0.404,78.2,891
178,0.404,78.2,896
179,0.404,78.2,901
180,0.404,78.2,907
181,0.404,78.2,912
182,0.404,78.2,917
183,0.404,78.2,922
184,0.404,52.0,927
185,0.268,52.0,932
186,0.268,52.0,936
187,0.268,52.0,941
188,0.268,52.0,947
189,0.268,52.0,952
190,0.268,52.0,957
191,0.268,52.0,962
192,0.268,52.0,967
193,0.268,52.0,971
194,0.268,52.0,976
195,0.268,52.0,981
196,0.268,52.0,986
197,0.268,58.5,992
198,0.302,58.5,997
199,0.302,58.5,1002
200,0.302,58.5,1007
201,0.302,58.5,1012
202,0.302,58.5,1017
203,0.302,58.5,1022
204,0.302,58.5,1026
205,0.302,58.5,1032
206,0.302,58.5,1037
207,0.302,58.5,1042
208,0.302,58.5,1047
209,0.302,58.5,1052
210,0.302,68.7,1057
211,0.354,68.7,1062
212,0.354,68.7,1067
213,0.354,68.7,1072
214,0.354,68.7,1078
215,0.354,68.7,1083
216,0.354,68.7,1088
217,0.354,68.7,1093
218,0.354,68.7,1098
219,0.354,68.7,1103
220,0.354,68.7,1108
221,0.354,68.7,1113
222,0.354,68.7,1119
223,0.354,74.3,1124
224,0.38,74.3,1128
225,0.38,74.3,1133
226,0.38,74.3,1138
227,0.38,74.3,1143
228,0.38,74.3,1148
229,0.38,74.3,1153
230,0.38,74.3,1158
231,0.38,74.3,1164
232,0.38,74.3,1169
233,0.38,74.3,1174
234,0.38,74.3,1179
235,0.38,74.3,1184
236,0.38,73.2,1189
237,0.374,73.2,1194
238,0.374,73.2,1199
239,0.374,73.2,1205
240,0.374,73.2,1210
241,0.374,73.2,1215
242,0.374,73.2,1219
243,0.374,73.2,1224
244,0.374,73.2,1229
245,0.374,73.2,1234
246,0.374,73.2,1239
247,0.374,73.2,1245
248,0.374,73.2,1250
249,0.374,78.5,1255
250,0.404,78.5,1260
251,0.404,78.5,1265
252,0.404,78.5,1270
253,0.404,78.5,1275
254,0.404,78.5,1280
255,0.404,78.5,1285
256,0.404,78.5,1291
257,0.404,78.5,1295
258,0.404,78.5,1300
259,0.404,78.5,1305
260,0.404,78.5,1310
261,0.404,78.5,1315
262,0.404,78.5,1320
263,0.422,82.80001,1325
264,0.422,82.80001,1331
265,0.422,82.80001,1336
266,0.422,82.80001,1341
267,0.422,82.80001,1346
268,0.422,82.80001,1351
269,0.422,82.80001,1356
270,0.422,82.80001,1361
271,0.422,82.80001,1366
272,0.422,82.80001,1371
273,0.422,82.80001,1376
274,0.422,82.80001,1381
275,0.422,82.80001,1386
276,0.448,88.2,1391
277,0.448,88.2,1396
278,0.448,88.2,1401
279,0.448,88.2,1406
280,0.448,88.2,1411
281,0.448,88.2,1417
282,0.448,88.2,1422
283,0.448,88.2,1427
284,0.448,88.2,1432
285,0.448,88.2,1437
286,0.448,88.2,1442
287,0.448,88.2,1447
288,0.448,88.2,1452
289,0.448,88.1,1458
290,0.448,88.1,1463
291,0.448,88.1,1468
292,0.448,88.1,1473
293,0.448,88.1,1477
294,0.448,88.1,1482
295,0.448,88.1,1487
296,0.448,88.1,1492
297,0.448,88.1,1497
298,0.448,88.1,1503
299,0.448,88.1,1508
300,0.448,88.1,1513
301,0.448,88.1,1518
302,0.448,88.1,1523
303,0.448,88.1,1528
304,0.448,88.1,1533
305,0.448,88.1,1538
306,0.448,88.1,1544
307,0.448,88.1,1549
308,0.448,88.1,1554
309,0.448,88.1,1559
310,0.448,88.1,1564
311,0.448,88.1,1569
312,0.448,88.1,1573
313,0.448,88.1,1578
314,0.448,88.1,1583
315,0.466,91.9,1589
316,0.466,91.9,1594
317,0.466,91.9,1599
318,0.466,91.9,1604
319,0.466,91.9,1609
320,0.466,91.9,1614
321,0.466,91.9,1619
322,0.466,91.9,1624
323,0.466,91.9,1630
324,0.466,91.9,1635
325,0.466,91.9,1640
326,0.466,91.9,1645
327,0.466,91.9,1650
328,0.458,90.4,1655
329,0.458,90.4,1660
330,0.458,90.4,1665
331,0.458,90.4,1669
332,0.458,90.4,1675
333,0.458,90.4,1680
334,0.458,90.4,1685
335,0.458,90.4,1690
336,0.458,90.4,1695
337,0.458,90.4,1700
338,0.458,90.4,1705
339,0.458,90.4,1710
340,0.458,90.4,1716
341,0.488,96.4,1721
342,0.488,96.4,1726
343,0.488,96.4,1731
344,0.488,96.4,1736
345,0.488,96.4,1741
346,0.488,96.4,1746
347,0.488,96.4,1751
348,0.488,96.4,1757
349,0.488,96.4,1762
350,0.488,96.4,1766
351,0.488,96.4,1771
352,0.488,96.4,1776
353,0.488,96.4,1781
354,0.458,89.9,1786
355,0.458,89.9,1791
356,0.458,89.9,1796
357,0.458,89.9,1802
358,0.458,89.9,1807
359,0.458,89.9,1812
360,0.458,89.9,1817
361,0.458,89.9,1822
362,0.458,89.9,1827
363,0.458,89.9,1832
364,0.458,89.9,1837
365,0.458,89.9,1843
366,0.458,89.9,1848
367,0.738,147.89999,1853
368,0.738,147.89999,1858
369,0.738,147.89999,1863
370,0.738,147.89999,1868
371,0.738,147.89999,1873
372,0.738,147.89999,1878
373,0.738,147.89999,1883
374,0.738,147.89999,1889
375,0.738,147.89999,1894
376,0.738,147.89999,1899
377,0.738,147.89999,1904
378,0.738,147.89999,1909
379,0.738,147.89999,1914
380,0.82,164.29998,1919
381,0.82,164.29998,1924
382,0.82,164.29998,1930
383,0.82,164.29998,1935
384,0.82,164.29998,1940
385,0.82,164.29998,1945
386,0.82,164.29998,1950
387,0.82,164.29998,1955
388,0.82,164.29998,1960
389,0.82,164.29998,1965
390,0.82,164.29998,1971
391,0.82,164.29998,1976
392,0.82,164.29998,1981
393,0.82,164.29998,1986
394,0.82,164.29998,1991
395,0.82,164.29998,1996
396,0.82,164.29998,2001
397,0.82,164.29998,2006
398,0.82,164.29998,2011
399,0.82,164.29998,2017
400,0.82,164.29998,2022
401,0.82,164.29998,2027
402,0.82,164.29998,2032
403,0.82,164.29998,2037
404,0.82,164.29998,2042
405,0.82,164.29998,2047
